DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Monday,June,0.0,12.0,7.0,0.0,12.0,10.0,0.0,23.0,26.0
Tuesday,June,0.0,7.0,7.0,0.0,12.0,13.0,2.0,15.0,36.0
Wednesday,June,0.0,4.0,13.0,2.0,10.0,7.0,0.0,24.0,34.0
Thursday,June,0.0,5.0,11.0,0.0,10.0,13.0,0.0,13.0,34.0
Friday,June,0.0,10.0,14.0,0.0,19.0,16.0,1.0,19.0,35.0
Saturday,June,1.0,13.0,15.0,2.0,17.0,19.0,0.0,25.0,34.0
Sunday,June,0.0,13.0,9.0,3.0,15.0,15.0,0.0,20.0,26.0
Monday,June,0.0,5.0,12.0,0.0,11.0,16.0,0.0,25.0,36.0
Tuesday,June,0.0,6.0,7.0,0.0,9.0,10.0,0.0,14.0,26.0
Wednesday,June,0.0,6.0,5.0,0.0,12.0,11.0,0.0,22.0,35.0
Thursday,July,0.0,5.0,7.0,0.0,12.0,9.0,1.0,15.0,32.0
Friday,July,0.0,5.0,8.0,0.0,10.0,5.0,0.0,19.0,35.0
Saturday,July,0.0,13.0,8.0,2.0,11.0,14.0,0.0,22.0,32.0
Sunday,July,0.0,6.0,11.0,0.0,11.0,15.0,1.0,19.0,31.0
Monday,July,0.0,7.0,8.0,0.0,13.0,10.0,0.0,19.0,25.0
Tuesday,July,0.0,4.0,15.0,0.0,9.0,9.0,0.0,24.0,36.0
Wednesday,July,1.0,5.0,7.0,0.0,7.0,12.0,0.0,21.0,40.0
Thursday,July,0.0,7.0,12.0,0.0,24.0,10.0,0.0,15.0,28.0
Friday,July,0.0,9.0,10.0,1.0,16.0,9.0,1.0,26.0,40.0
Saturday,July,0.0,7.0,10.0,1.0,18.0,15.0,1.0,19.0,31.0
Sunday,July,0.0,5.0,7.0,0.0,19.0,9.0,0.0,28.0,22.0
Monday,July,0.0,6.0,10.0,1.0,10.0,16.0,1.0,23.0,27.0
Tuesday,July,0.0,9.0,13.0,0.0,13.0,15.0,0.0,12.0,39.0
Wednesday,July,0.0,6.0,10.0,1.0,12.0,8.0,1.0,19.0,28.0
Thursday,July,0.0,5.0,13.0,0.0,12.0,11.0,1.0,21.0,30.0
Friday,July,0.0,11.0,13.0,0.0,13.0,16.0,0.0,32.0,47.0
Saturday,July,0.0,6.0,9.0,0.0,18.0,18.0,2.0,19.0,32.0
Sunday,July,0.0,10.0,7.0,1.0,14.0,16.0,1.0,30.0,24.0
Monday,July,0.0,8.0,14.0,1.0,11.0,22.0,0.0,28.0,43.0
Tuesday,July,0.0,6.0,9.0,0.0,5.0,12.0,0.0,23.0,42.0
Wednesday,July,1.0,10.0,9.0,0.0,11.0,17.0,1.0,20.0,29.0
Thursday,July,0.0,5.0,12.0,0.0,12.0,12.0,3.0,12.0,41.0
Friday,July,0.0,12.0,13.0,0.0,14.0,18.0,0.0,29.0,34.0
Saturday,July,0.0,6.0,11.0,0.0,18.0,12.0,0.0,21.0,32.0
Sunday,July,0.0,7.0,7.0,1.0,8.0,15.0,0.0,20.0,21.0
Monday,July,0.0,5.0,9.0,0.0,7.0,15.0,1.0,19.0,37.0
Tuesday,July,0.0,2.0,7.0,0.0,11.0,9.0,1.0,23.0,31.0
Wednesday,July,1.0,2.0,13.0,0.0,12.0,13.0,0.0,34.0,44.0
Thursday,July,0.0,4.0,14.0,0.0,19.0,10.0,0.0,18.0,41.0
Friday,July,0.0,7.0,11.0,0.0,12.0,12.0,0.0,16.0,33.0
Saturday,July,2.0,12.0,9.0,0.0,7.0,8.0,0.0,19.0,33.0
Sunday,August,0.0,5.0,5.0,0.0,15.0,9.0,1.0,16.0,37.0
Monday,August,0.0,4.0,9.0,1.0,10.0,8.0,0.0,24.0,28.0
Tuesday,August,0.0,3.0,10.0,0.0,11.0,12.0,0.0,20.0,39.0
Wednesday,August,0.0,12.0,11.0,0.0,8.0,16.0,1.0,17.0,33.0
Thursday,August,0.0,7.0,8.0,1.0,13.0,13.0,0.0,26.0,29.0
Friday,August,0.0,14.0,16.0,0.0,12.0,10.0,1.0,19.0,35.0
Saturday,August,0.0,9.0,8.0,0.0,10.0,7.0,1.0,31.0,26.0
Sunday,August,0.0,9.0,12.0,0.0,18.0,9.0,0.0,25.0,26.0
Monday,August,0.0,9.0,15.0,1.0,13.0,6.0,0.0,28.0,21.0
Tuesday,August,0.0,6.0,10.0,0.0,8.0,7.0,1.0,23.0,37.0
Wednesday,August,2.0,2.0,14.0,1.0,10.0,5.0,0.0,23.0,29.0
Thursday,August,1.0,7.0,12.0,0.0,10.0,12.0,0.0,26.0,28.0
Friday,August,0.0,4.0,21.0,0.0,11.0,7.0,3.0,45.0,31.0
Saturday,August,0.0,7.0,7.0,0.0,12.0,6.0,0.0,23.0,22.0
Sunday,August,1.0,13.0,13.0,0.0,10.0,10.0,0.0,26.0,28.0
Monday,August,0.0,7.0,14.0,0.0,13.0,9.0,0.0,26.0,33.0
Tuesday,August,0.0,7.0,16.0,0.0,13.0,11.0,0.0,36.0,22.0
Wednesday,August,0.0,7.0,17.0,1.0,10.0,7.0,2.0,33.0,29.0
Thursday,August,0.0,7.0,7.0,0.0,6.0,11.0,1.0,15.0,42.0
Friday,August,0.0,7.0,9.0,0.0,12.0,13.0,2.0,31.0,36.0
Saturday,August,0.0,10.0,14.0,0.0,17.0,15.0,0.0,25.0,29.0
Sunday,August,0.0,9.0,10.0,0.0,19.0,8.0,0.0,31.0,20.0
Monday,August,0.0,7.0,16.0,0.0,7.0,6.0,1.0,18.0,35.0
Tuesday,August,0.0,4.0,22.0,0.0,11.0,9.0,0.0,17.0,27.0
Wednesday,August,0.0,7.0,13.0,0.0,5.0,13.0,0.0,37.0,26.0
Thursday,August,0.0,6.0,15.0,0.0,6.0,11.0,0.0,18.0,28.0
Friday,August,1.0,11.0,14.0,1.0,12.0,10.0,4.0,29.0,38.0
Saturday,August,0.0,10.0,10.0,0.0,18.0,13.0,0.0,35.0,25.0
Sunday,August,0.0,10.0,6.0,0.0,11.0,13.0,1.0,18.0,29.0
Monday,August,0.0,5.0,13.0,3.0,9.0,9.0,1.0,23.0,29.0
Tuesday,August,1.0,8.0,12.0,1.0,6.0,5.0,0.0,17.0,33.0
Wednesday,September,0.0,7.0,11.0,0.0,5.0,9.0,1.0,21.0,38.0
Thursday,September,0.0,4.0,18.0,0.0,7.0,14.0,0.0,24.0,33.0
Friday,September,0.0,6.0,20.0,0.0,12.0,10.0,0.0,36.0,36.0
Saturday,September,0.0,10.0,9.0,0.0,7.0,10.0,1.0,16.0,25.0
Sunday,September,0.0,4.0,18.0,0.0,19.0,13.0,0.0,28.0,35.0
Monday,September,0.0,8.0,9.0,0.0,9.0,12.0,0.0,27.0,30.0
Tuesday,September,1.0,10.0,16.0,0.0,13.0,6.0,0.0,24.0,23.0
Wednesday,September,0.0,8.0,16.0,0.0,18.0,13.0,0.0,31.0,33.0
Thursday,September,0.0,5.0,12.0,0.0,6.0,11.0,1.0,23.0,22.0
Friday,September,0.0,6.0,22.0,0.0,6.0,13.0,2.0,31.0,27.0
Saturday,September,0.0,9.0,7.0,0.0,23.0,15.0,0.0,27.0,27.0
Sunday,September,0.0,6.0,4.0,1.0,4.0,5.0,0.0,26.0,22.0
Monday,September,0.0,6.0,17.0,1.0,14.0,13.0,0.0,17.0,25.0
Tuesday,September,0.0,9.0,14.0,1.0,11.0,12.0,1.0,35.0,31.0
Wednesday,September,1.0,5.0,9.0,0.0,9.0,3.0,0.0,21.0,19.0
Thursday,September,2.0,8.0,13.0,0.0,21.0,11.0,0.0,24.0,20.0
Friday,September,0.0,9.0,9.0,0.0,17.0,9.0,0.0,28.0,30.0
Saturday,September,0.0,10.0,9.0,1.0,14.0,12.0,0.0,28.0,36.0
Sunday,September,0.0,6.0,12.0,0.0,23.0,12.0,0.0,29.0,15.0
Monday,September,0.0,7.0,12.0,0.0,5.0,9.0,0.0,29.0,22.0
Tuesday,September,0.0,9.0,20.0,2.0,10.0,12.0,0.0,29.0,41.0
Wednesday,September,0.0,5.0,16.0,0.0,6.0,10.0,1.0,35.0,20.0
Thursday,September,0.0,6.0,24.0,0.0,14.0,13.0,1.0,18.0,35.0
Friday,September,0.0,4.0,17.0,0.0,9.0,12.0,0.0,22.0,38.0
Saturday,September,0.0,8.0,12.0,2.0,7.0,14.0,1.0,44.0,21.0
Sunday,September,0.0,7.0,9.0,0.0,13.0,16.0,0.0,31.0,16.0
Monday,September,0.0,7.0,21.0,0.0,9.0,11.0,0.0,34.0,33.0
Tuesday,September,0.0,2.0,15.0,1.0,11.0,9.0,0.0,27.0,27.0
Wednesday,September,0.0,3.0,9.0,2.0,6.0,9.0,0.0,22.0,30.0
Thursday,September,0.0,10.0,10.0,0.0,8.0,12.0,0.0,18.0,29.0
Friday,October,1.0,8.0,15.0,0.0,12.0,10.0,0.0,21.0,31.0
Saturday,October,0.0,8.0,4.0,2.0,12.0,6.0,1.0,35.0,20.0
Sunday,October,0.0,6.0,8.0,1.0,12.0,10.0,1.0,25.0,16.0
